Gene1	Gene2	Annotation	Direction	Score
A1CF	APOBEC1	catalyzed by; complex; input	<-	1.00
A1CF	CELF2	predicted	-	0.90
A1CF	EP300	expression regulated by	<-	1.00
A1CF	RBM47	predicted	-	0.89
A2M	APOA1	inhibit	-|	1.00
A2M	BMP1	inhibit	-|	1.00
A2M	KLKB1	complex; input	-	1.00
A2M	MMP1	complex; input	-	1.00
A2M	MMP13	complex; input	-	1.00
A2M	MMP3	complex; input	-	1.00
A2M	NFKB1	expression regulated by	<-	1.00
A2M	PROC	PPrel: inhibition	-|	1.00
A2M	RELA	expression regulated by	<-	1.00
A2M	STAT1	expression regulated by	<-	1.00
A2M	STAT3	expression regulated by	<-	1.00
A4GNT	MUC1	catalyze	->	1.00
A4GNT	MUC12	catalyze	->	1.00
A4GNT	MUC13	catalyze	->	1.00
A4GNT	MUC15	catalyze	->	1.00
A4GNT	MUC16	catalyze	->	1.00
A4GNT	MUC17	catalyze	->	1.00
A4GNT	MUC19	catalyze	->	1.00
A4GNT	MUC2	catalyze	->	1.00
A4GNT	MUC20	catalyze	->	1.00
A4GNT	MUC21	catalyze	->	1.00
A4GNT	MUC3A	catalyze	->	1.00
A4GNT	MUC3B	catalyze	->	1.00
A4GNT	MUC4	catalyze	->	1.00
A4GNT	MUC5AC	catalyze	->	1.00
A4GNT	MUC5B	catalyze	->	1.00
A4GNT	MUC6	catalyze	->	1.00
A4GNT	MUC7	catalyze	->	1.00
A4GNT	MUCL1	catalyze	->	1.00
A4GNT	POMGNT1	predicted	-	0.91
AAAS	AGO2	catalyze	->	1.00
AAAS	ALYREF	activate; complex; input	->	1.00
AAAS	AURKB	catalyze	->	1.00
AAAS	BANF1	complex; input	-	1.00
AAAS	BIRC5	catalyze	->	1.00
AAAS	CASC3	activate; complex; input	->	1.00
AAAS	CCNB1	catalyzed by	<-	1.00
AAAS	CCNB2	catalyzed by	<-	1.00
AAAS	CDC40	activate; input	->	1.00
AAAS	CDCA8	catalyze	->	1.00
AAAS	CDK1	catalyzed by	<-	1.00
AAAS	CHTOP	activate; input	->	1.00
AAAS	CPSF1	activate	->	1.00
AAAS	CPSF2	activate	->	1.00
AAAS	CPSF3	activate	->	1.00
AAAS	CPSF4	activate	->	1.00
AAAS	DDX20	activate	->	1.00
AAAS	DHX38	activate; input	->	1.00
AAAS	DYNC1H1	input	-	1.00
AAAS	DYNC1I1	input	-	1.00
AAAS	DYNC1I2	input	-	1.00
AAAS	DYNC1LI1	input	-	1.00
AAAS	DYNC1LI2	input	-	1.00
AAAS	DYNLL1	input	-	1.00
AAAS	DYNLL2	input	-	1.00
AAAS	EIF4A3	activate; complex; input	->	1.00
AAAS	EIF4E	activate	->	1.00
AAAS	FIP1L1	activate	->	1.00
AAAS	GCK	catalyze	->	1.00
AAAS	GCKR	catalyze	->	1.00
AAAS	GEMIN2	activate	->	1.00
AAAS	GEMIN4	activate	->	1.00
AAAS	GEMIN5	activate	->	1.00
AAAS	GEMIN6	activate	->	1.00
AAAS	GEMIN7	activate	->	1.00
AAAS	GEMIN8	activate	->	1.00
AAAS	GLE1	reaction	-	1.00
AAAS	HDAC4	catalyze	->	1.00
AAAS	HIKESHI	catalyze	->	1.00
AAAS	HMGA1	complex; input	-	1.00
AAAS	HNRNPC	catalyze	->	1.00
AAAS	HSPA1B	catalyze	->	1.00
AAAS	INCENP	catalyze	->	1.00
AAAS	IPO8	catalyze	->	1.00
AAAS	IRF3	inhibite	-|	1.00
AAAS	IRF7	inhibite	-|	1.00
AAAS	ISG15	inhibited by	|-	1.00
AAAS	KPNA1	activate; catalyze	->	1.00
AAAS	KPNA2	catalyze; reaction	->	1.00
AAAS	KPNA3	catalyze	->	1.00
AAAS	KPNA4	catalyze	->	1.00
AAAS	KPNA5	catalyze	->	1.00
AAAS	KPNA7	catalyze	->	1.00
AAAS	KPNB1	activate; catalyze; complex; input	->	1.00
AAAS	MAGOH	activate; complex; input	->	1.00
AAAS	MAGOHB	activate; complex; input	->	1.00
AAAS	MDM2	catalyze	->	1.00
AAAS	NCBP1	activate; complex; input	->	1.00
AAAS	NCBP2	activate; complex; input	->	1.00
AAAS	NDC1	complex; input	-	1.00
AAAS	NEK6	catalyzed by	<-	1.00
AAAS	NEK9	catalyzed by	<-	1.00
AAAS	NPM1	complex; input	-	1.00
AAAS	NUP107	complex; input	-	1.00
AAAS	NUP133	complex; input	-	1.00
AAAS	NUP153	complex; input	-	1.00
AAAS	NUP155	complex; input	-	1.00
AAAS	NUP160	complex; input	-	1.00
AAAS	NUP188	complex; input	-	1.00
AAAS	NUP205	complex; input	-	1.00
AAAS	NUP210	complex; input	-	1.00
AAAS	NUP214	complex; input	-	1.00
AAAS	NUP35	complex; input	-	1.00
AAAS	NUP37	complex; input	-	1.00
AAAS	NUP42	complex; input	-	1.00
AAAS	NUP43	complex; input	-	1.00
AAAS	NUP50	complex; input	-	1.00
AAAS	NUP54	complex; input	-	1.00
AAAS	NUP58	complex; input	-	1.00
AAAS	NUP62	complex; input	-	1.00
AAAS	NUP85	complex; input	-	1.00
AAAS	NUP88	complex; input	-	1.00
AAAS	NUP93	complex; input	-	1.00
AAAS	NUP98	complex; input	-	1.00
AAAS	NXF1	activate; complex; input	->	1.00
AAAS	NXF2	activate; complex; input	->	1.00
AAAS	NXT1	activate; complex; input	->	1.00
AAAS	PHAX	activate	->	1.00
AAAS	PIAS3	reaction	-	1.00
AAAS	PML	catalyze	->	1.00
AAAS	POLDIP3	activate; complex; input	->	1.00
AAAS	POM121	complex; input	-	1.00
AAAS	POM121C	complex; input	-	1.00
AAAS	PSIP1	complex; input	-	1.00
AAAS	RAE1	complex; input	-	1.00
AAAS	RAN	activate; catalyze; complex; input	->	1.00
AAAS	RANBP2	catalyze; complex; input	->	1.00
AAAS	RANGAP1	complex	-	1.00
AAAS	RBM8A	activate; complex; input	->	1.00
AAAS	RNPS1	activate; complex; input	->	1.00
AAAS	SARNP	activate; input	->	1.00
AAAS	SEC13	complex; input	-	1.00
AAAS	SEH1L	complex; input	-	1.00
AAAS	SLBP	activate	->	1.00
AAAS	SLU7	activate; input	->	1.00
AAAS	SMN1	activate	->	1.00
AAAS	SNRPB	activate	->	1.00
AAAS	SNRPD1	activate	->	1.00
AAAS	SNRPD2	activate	->	1.00
AAAS	SNRPD3	activate	->	1.00
AAAS	SNRPE	activate	->	1.00
AAAS	SNRPF	activate	->	1.00
AAAS	SNRPG	activate	->	1.00
AAAS	SNUPN	activate	->	1.00
AAAS	SP100	catalyze	->	1.00
AAAS	SRRM1	activate; complex; input	->	1.00
AAAS	SRSF1	activate; input	->	1.00
AAAS	SRSF11	activate; input	->	1.00
AAAS	SRSF2	activate; input	->	1.00
AAAS	SRSF3	activate; input	->	1.00
AAAS	SRSF4	activate; input	->	1.00
