CHDH	ALDH7A1
ALDH7A1	BHMT
BHMT	DMGDH
AGXT	GRHPR
AGXT	LOC102724560
AGXT	CBS
AGXT	AGXT
AGXT	SHMT1
AGXT	SHMT2
AGXT	SDS
AGXT	SDSL
AGXT	PSPH
AGXT	GATM
AGXT	SRR
AGXT	PIPOX
AGXT	SARDH
AGXT	GNMT
AGXT	GCAT
AGXT	ALAS1
AGXT	ALAS2
AGXT	GLDC
AGXT	DAO
GAMT	GATM
PHGDH	PSAT1
PHGDH	PGAM4
PHGDH	PGAM1
PHGDH	PGAM2
PHGDH	BPGM
LOC102724560	SHMT1
LOC102724560	SHMT2
LOC102724560	SDS
LOC102724560	SDSL
LOC102724560	PSPH
LOC102724560	CTH
LOC102724560	SRR
LOC102724560	AGXT
CBS	SHMT1
CBS	SHMT2
CBS	SDS
CBS	SDSL
CBS	PSPH
CBS	CTH
CBS	SRR
CBS	AGXT
GATM	PIPOX
GATM	SARDH
GATM	GNMT
GATM	GCAT
GATM	ALAS1
GATM	ALAS2
GATM	GLDC
GATM	DAO
PSAT1	PSPH
PIPOX	GCAT
PIPOX	ALAS1
PIPOX	ALAS2
PIPOX	GLDC
PIPOX	DAO
PIPOX	DMGDH
SARDH	GCAT
SARDH	ALAS1
SARDH	ALAS2
SARDH	GLDC
SARDH	DAO
SARDH	DMGDH
PSPH	SHMT1
PSPH	SHMT2
PSPH	SDS
PSPH	SDSL
PSPH	SRR
SHMT1	SDS
SHMT1	SDSL
SHMT1	AMT
SHMT1	SRR
SHMT1	GATM
SHMT1	PIPOX
SHMT1	SARDH
SHMT1	GNMT
SHMT1	GCAT
SHMT1	ALAS1
SHMT1	ALAS2
SHMT1	GLDC
SHMT1	DAO
SHMT1	AGXT
SHMT2	SDS
SHMT2	SDSL
SHMT2	AMT
SHMT2	SRR
SHMT2	GATM
SHMT2	PIPOX
SHMT2	SARDH
SHMT2	GNMT
SHMT2	GCAT
SHMT2	ALAS1
SHMT2	ALAS2
SHMT2	GLDC
SHMT2	DAO
SHMT2	AGXT
SDS	SRR
SDS	AGXT
SDSL	SRR
SDSL	AGXT
GCAT	ALAS1
GCAT	ALAS2
GCAT	GLDC
GCAT	DAO
GLDC	DLD
GLDC	DAO
GLDC	AMT
ALAS1	GLDC
ALAS1	DAO
ALAS2	GLDC
ALAS2	DAO
GRHPR	GLYCTK
AMT	DLD
GNMT	GCAT
GNMT	ALAS1
GNMT	ALAS2
GNMT	GLDC
GNMT	DAO
GNMT	DMGDH
AGXT2	SHMT1
AGXT2	SHMT2
AGXT2	AGXT
AGXT2	GATM
AGXT2	PIPOX
AGXT2	SARDH
AGXT2	GNMT
AGXT2	GCAT
AGXT2	ALAS1
AGXT2	ALAS2
AGXT2	GLDC
GLYCTK	PGAM4
GLYCTK	PGAM1
GLYCTK	PGAM2
GLYCTK	BPGM
