MVK	PMVK
ACAT1	HMGCS1
ACAT1	HMGCS2
ACAT2	HMGCS1
ACAT2	HMGCS2
HMGCS1	HMGCR
HMGCS2	HMGCR
HMGCR	MVK
IDI1	FDPS
IDI1	GGPS1
IDI2	FDPS
IDI2	GGPS1
MVD	IDI1
MVD	IDI2
MVD	FDPS
MVD	GGPS1
PMVK	MVD
FDPS	FDPS
FDPS	GGPS1
FDPS	NUS1
FDPS	DHDDS
FDPS	PDSS1
FDPS	PDSS2
FDPS	CHURC1-FNTB
FDPS	FNTA
FDPS	FNTB
FDPS	IDI1
FDPS	IDI2
GGPS1	FDPS
GGPS1	GGPS1
GGPS1	NUS1
GGPS1	DHDDS
GGPS1	PDSS1
GGPS1	PDSS2
GGPS1	CHURC1-FNTB
GGPS1	FNTA
GGPS1	FNTB
GGPS1	IDI1
GGPS1	IDI2
NUS1	GGPS1
NUS1	PDSS1
NUS1	PDSS2
DHDDS	GGPS1
DHDDS	PDSS1
DHDDS	PDSS2
CHURC1-FNTB	NUS1
CHURC1-FNTB	DHDDS
CHURC1-FNTB	GGPS1
CHURC1-FNTB	PDSS1
CHURC1-FNTB	PDSS2
FNTA	NUS1
FNTA	DHDDS
FNTA	GGPS1
FNTA	PDSS1
FNTA	PDSS2
FNTB	NUS1
FNTB	DHDDS
FNTB	GGPS1
FNTB	PDSS1
FNTB	PDSS2
RCE1	CHURC1-FNTB
RCE1	FNTA
RCE1	FNTB
ICMT	ZMPSTE24
ICMT	RCE1
ZMPSTE24	CHURC1-FNTB
ZMPSTE24	FNTA
ZMPSTE24	FNTB
