TNF	TNFRSF1A
TNFRSF1A	TRADD
TRADD	TRAF2
TRADD	TRAF5
TRADD	RIPK1
TRAF2	BIRC2
TRAF2	BIRC3
TRAF2	XIAP
TRAF2	RBCK1
TRAF2	RNF31
TRAF2	SHARPIN
TRAF5	BIRC2
TRAF5	BIRC3
TRAF5	XIAP
TRAF5	RBCK1
TRAF5	RNF31
TRAF5	SHARPIN
MLKL	PGAM5
MLKL	NLRP3
MLKL	TRPM7
TLR4	TICAM2
IFNAR1	JAK1
IFNAR1	JAK2
IFNAR1	JAK3
IFNAR1	TYK2
IFNAR2	JAK1
IFNAR2	JAK2
IFNAR2	JAK3
IFNAR2	TYK2
IFNGR1	JAK1
IFNGR1	JAK2
IFNGR1	JAK3
IFNGR1	TYK2
IFNGR2	JAK1
IFNGR2	JAK2
IFNGR2	JAK3
IFNGR2	TYK2
IFNA1	IFNAR1
IFNA1	IFNAR2
IFNA1	IFNGR1
IFNA1	IFNGR2
IFNA2	IFNAR1
IFNA2	IFNAR2
IFNA2	IFNGR1
IFNA2	IFNGR2
IFNA4	IFNAR1
IFNA4	IFNAR2
IFNA4	IFNGR1
IFNA4	IFNGR2
IFNA5	IFNAR1
IFNA5	IFNAR2
IFNA5	IFNGR1
IFNA5	IFNGR2
IFNA6	IFNAR1
IFNA6	IFNAR2
IFNA6	IFNGR1
IFNA6	IFNGR2
IFNA7	IFNAR1
IFNA7	IFNAR2
IFNA7	IFNGR1
IFNA7	IFNGR2
IFNA8	IFNAR1
IFNA8	IFNAR2
IFNA8	IFNGR1
IFNA8	IFNGR2
IFNA10	IFNAR1
IFNA10	IFNAR2
IFNA10	IFNGR1
IFNA10	IFNGR2
IFNA13	IFNAR1
IFNA13	IFNAR2
IFNA13	IFNGR1
IFNA13	IFNGR2
IFNA14	IFNAR1
IFNA14	IFNAR2
IFNA14	IFNGR1
IFNA14	IFNGR2
IFNA16	IFNAR1
IFNA16	IFNAR2
IFNA16	IFNGR1
IFNA16	IFNGR2
IFNA17	IFNAR1
IFNA17	IFNAR2
IFNA17	IFNGR1
IFNA17	IFNGR2
IFNA21	IFNAR1
IFNA21	IFNAR2
IFNA21	IFNGR1
IFNA21	IFNGR2
IFNB1	IFNAR1
IFNB1	IFNAR2
IFNB1	IFNGR1
IFNB1	IFNGR2
IFNG	IFNAR1
IFNG	IFNAR2
IFNG	IFNGR1
IFNG	IFNGR2
JAK1	STAT1
JAK1	STAT2
JAK1	STAT3
JAK1	STAT4
JAK1	STAT5A
