F3	F10
SERPINE1	PLAT
SERPINE1	PLAU
SERPINB2	PLAT
SERPINB2	PLAU
SERPINA5	PLAT
SERPINA5	PLAU
SERPINE2	PLAT
SERPINE2	PLAU
PLAU	PLG
PLAU	PLAUR
PLAT	PLG
A2M	PLAU
THBD	PROC
PROCR	PROC
MBL2	C4B_2
MBL2	LOC110384692
MBL2	C4A
MBL2	C4B
MBL2	C2
MASP2	C4B_2
MASP2	LOC110384692
MASP2	C4A
MASP2	C4B
MASP2	C2
MASP1	C4B_2
MASP1	LOC110384692
MASP1	C4A
MASP1	C4B
MASP1	C2
C1QA	C4B_2
C1QA	LOC110384692
C1QA	C4A
C1QA	C4B
C1QA	C2
C1QB	C4B_2
C1QB	LOC110384692
C1QB	C4A
C1QB	C4B
C1QB	C2
C1QC	C4B_2
C1QC	LOC110384692
C1QC	C4A
C1QC	C4B
C1QC	C2
C1R	C4B_2
C1R	LOC110384692
C1R	C4A
C1R	C4B
C1R	C2
C1S	C4B_2
C1S	LOC110384692
C1S	C4A
C1S	C4B
C1S	C2
VTN	C6
VTN	C7
VTN	C8A
VTN	C8B
VTN	C8G
VTN	C9
SERPING1	PLAU
SERPING1	C1QA
SERPING1	C1QB
SERPING1	C1QC
SERPING1	C1R
SERPING1	C1S
SERPING1	MBL2
SERPING1	MASP2
SERPING1	MASP1
CFHR4	CFH
CFHR3	CFH
CFHR1	CFH
CFHR2	CFH
CFHR5	CFH
CFD	CFB
SERPINA1	PLAU
