F2	F2R
WASF2	ARPC5
WASF2	ARPC4
WASF2	ARPC3
WASF2	ARPC1B
WASF2	ACTR3
WASF2	ACTR2
WASF2	ARPC2
WASF2	ARPC1A
WASF2	ACTR3B
WASF2	ACTR3C
WASF2	ARPC5L
WASF1	ARPC5
WASF1	ARPC4
WASF1	ARPC3
WASF1	ARPC1B
WASF1	ACTR3
WASF1	ACTR2
WASF1	ARPC2
WASF1	ARPC1A
WASF1	ACTR3B
WASF1	ACTR3C
WASF1	ARPC5L
BRK1	ARPC5
BRK1	ARPC4
BRK1	ARPC3
BRK1	ARPC1B
BRK1	ACTR3
BRK1	ACTR2
BRK1	ARPC2
BRK1	ARPC1A
BRK1	ACTR3B
BRK1	ACTR3C
BRK1	ARPC5L
APC2	SPATA13
APC2	ARHGEF4
APC	SPATA13
APC	ARHGEF4
WASL	ARPC5
WASL	ARPC4
WASL	ARPC3
WASL	ARPC1B
WASL	ACTR3
WASL	ACTR2
WASL	ARPC2
WASL	ARPC1A
WASL	ACTR3B
WASL	ACTR3C
WASL	ARPC5L
SPATA13	RAC1
SPATA13	RAC2
SPATA13	RAC3
ARHGEF4	RAC1
ARHGEF4	RAC2
ARHGEF4	RAC3
ABI2	WASF1
ABI2	BRK1
NCKAP1	WASF1
NCKAP1	BRK1
NCKAP1L	WASF1
NCKAP1L	BRK1
CYFIP1	WASF1
CYFIP1	BRK1
CYFIP2	WASF1
CYFIP2	BRK1
BAIAP2	ENAH
BAIAP2	WASF2
SSH1	CFL1
SSH1	CFL2
SSH3	CFL1
SSH3	CFL2
SSH2	CFL1
SSH2	CFL2
LIMK1	CFL1
LIMK1	CFL2
LIMK2	CFL1
LIMK2	CFL2
VCL	PIKFYVE
VCL	PIP5K1C
VCL	PIP4K2A
VCL	PIP4K2C
VCL	PIP5K1A
VCL	PIP5K1B
VCL	PIP4K2B
PIKFYVE	VCL
PIKFYVE	ACTN4
PIKFYVE	ACTN1
PIKFYVE	GSN
PIKFYVE	SCIN
PIP5K1C	VCL
PIP5K1C	ACTN4
