GCG	GCGR
GCGR	GNAS
GCGR	GNAQ
GNAS	ADCY2
PRKACA	CREB3
PRKACA	CREB1
PRKACA	ATF2
PRKACA	CREB3L4
PRKACA	ATF4
PRKACA	CREB3L2
PRKACA	CREB3L3
PRKACA	CREB3L1
PRKACA	CREB5
PRKACA	ITPR1
PRKACA	ITPR2
PRKACA	ITPR3
PRKACA	PFKFB1
PRKACA	SIK2
PRKACA	PPP4R3C
PRKACA	PPP4C
PRKACA	PPP4R3A
PRKACA	PPP4R3B
PRKACA	PRKAG2
PRKACA	PRKAG3
PRKACA	PRKAA1
PRKACA	PRKAA2
PRKACA	PRKAB1
PRKACA	PRKAB2
PRKACA	PRKAG1
PRKACA	GYS1
PRKACA	GYS2
PRKACA	PKM
PRKACA	PHKA1
PRKACA	PHKA2
PRKACA	PHKB
PRKACA	PHKG1
PRKACA	PHKG2
PRKACA	CALML6
PRKACA	CALML5
PRKACA	CALM1
PRKACA	CALM2
PRKACA	CALM3
PRKACA	CALML3
PRKACA	CALML4
PRKACB	CREB3
PRKACB	CREB1
PRKACB	ATF2
PRKACB	CREB3L4
PRKACB	ATF4
PRKACB	CREB3L2
PRKACB	CREB3L3
PRKACB	CREB3L1
PRKACB	CREB5
PRKACB	ITPR1
PRKACB	ITPR2
PRKACB	ITPR3
PRKACB	PFKFB1
PRKACB	SIK2
PRKACB	PPP4R3C
PRKACB	PPP4C
PRKACB	PPP4R3A
PRKACB	PPP4R3B
PRKACB	PRKAG2
PRKACB	PRKAG3
PRKACB	PRKAA1
PRKACB	PRKAA2
PRKACB	PRKAB1
PRKACB	PRKAB2
PRKACB	PRKAG1
PRKACB	GYS1
PRKACB	GYS2
PRKACB	PKM
PRKACB	PHKA1
PRKACB	PHKA2
PRKACB	PHKB
PRKACB	PHKG1
PRKACB	PHKG2
PRKACB	CALML6
PRKACB	CALML5
PRKACB	CALM1
PRKACB	CALM2
PRKACB	CALM3
PRKACB	CALML3
PRKACB	CALML4
PRKACG	CREB3
PRKACG	CREB1
PRKACG	ATF2
PRKACG	CREB3L4
PRKACG	ATF4
PRKACG	CREB3L2
PRKACG	CREB3L3
PRKACG	CREB3L1
PRKACG	CREB5
PRKACG	ITPR1
PRKACG	ITPR2
PRKACG	ITPR3
PRKACG	PFKFB1
PRKACG	SIK2
PRKACG	PPP4R3C
PRKACG	PPP4C
PRKACG	PPP4R3A
PRKACG	PPP4R3B
PRKACG	PRKAG2
PRKACG	PRKAG3
PRKACG	PRKAA1
PRKACG	PRKAA2
PRKACG	PRKAB1
PRKACG	PRKAB2
PRKACG	PRKAG1
PRKACG	GYS1
PRKACG	GYS2
PRKACG	PKM
PRKACG	PHKA1
PRKACG	PHKA2
PRKACG	PHKB
PRKACG	PHKG1
PRKACG	PHKG2
PRKACG	CALML6
PRKACG	CALML5
PRKACG	CALM1
PRKACG	CALM2
PRKACG	CALM3
PRKACG	CALML3
PRKACG	CALML4
GNAQ	PLCB1
GNAQ	PLCB2
GNAQ	PLCB3
GNAQ	PLCB4
CREB3	CREB3
CREB3	CREB1
