INS	INSR
IRS1	P3R3URF-PIK3R3
IRS1	PIK3CA
IRS1	PIK3CB
IRS1	PIK3CD
IRS1	PIK3R1
IRS1	PIK3R2
IRS1	PIK3R3
IRS2	P3R3URF-PIK3R3
IRS2	PIK3CA
IRS2	PIK3CB
IRS2	PIK3CD
IRS2	PIK3R1
IRS2	PIK3R2
IRS2	PIK3R3
AKT3	GSK3A
AKT3	GSK3B
AKT1	GSK3A
AKT1	GSK3B
AKT2	GSK3A
AKT2	GSK3B
MLXIP	PKLR
MLXIPL	PKLR
MLX	PKLR
TNF	TNFRSF1A
TNF	MAPK8
TNF	MAPK9
TNF	MAPK10
NFKB1	IL6
NFKB1	IL1A
NFKB1	IL1B
NFKB1	TNF
RELA	IL6
RELA	IL1A
RELA	IL1B
RELA	TNF
IL6	IL6R
SOCS3	IRS1
SOCS3	IRS2
P3R3URF-PIK3R3	AKT3
P3R3URF-PIK3R3	AKT1
P3R3URF-PIK3R3	AKT2
PIK3CA	AKT3
PIK3CA	AKT1
PIK3CA	AKT2
PIK3CB	AKT3
PIK3CB	AKT1
PIK3CB	AKT2
PIK3CD	AKT3
PIK3CD	AKT1
PIK3CD	AKT2
PIK3R1	AKT3
PIK3R1	AKT1
PIK3R1	AKT2
PIK3R2	AKT3
PIK3R2	AKT1
PIK3R2	AKT2
PIK3R3	AKT3
PIK3R3	AKT1
PIK3R3	AKT2
PPARA	RXRA
ADIPOQ	ADIPOR1
ADIPOQ	ADIPOR2
ADIPOQ	PPARA
LEP	LEPR
ADIPOR1	PRKAG2
ADIPOR1	PRKAG3
ADIPOR1	PRKAA1
ADIPOR1	PRKAA2
ADIPOR1	PRKAB1
ADIPOR1	PRKAB2
ADIPOR1	PRKAG1
ADIPOR2	PRKAG2
ADIPOR2	PRKAG3
ADIPOR2	PRKAA1
ADIPOR2	PRKAA2
ADIPOR2	PRKAB1
ADIPOR2	PRKAB2
ADIPOR2	PRKAG1
CASP8	BID
BID	CYCS
CYCS	CASP3
CYCS	CASP7
FAS	CASP8
EIF2AK3	EIF2S1
EIF2S1	ATF4
BCL2L11	BAX
ATF4	DDIT3
DDIT3	BCL2L11
FASLG	FAS
ERN1	TRAF2
ERN1	XBP1
TRAF2	MAP3K5
TRAF2	IKBKB
MAPK8	FOS
MAPK8	JUN
MAPK8	ITCH
MAPK9	FOS
MAPK9	JUN
MAPK9	ITCH
MAPK10	FOS
MAPK10	JUN
MAPK10	ITCH
IKBKB	NFKB1
IKBKB	RELA
MAP3K5	MAPK8
MAP3K5	MAPK9
MAP3K5	MAPK10
CDC42	MAP3K11
RAC1	MAP3K11
MAP3K11	MAPK8
MAP3K11	MAPK9
MAP3K11	MAPK10
ITCH	CASP8
XBP1	CEBPA
LEPR	PRKAG2
LEPR	PRKAG3
LEPR	PRKAA1
LEPR	PRKAA2
LEPR	PRKAB1
LEPR	PRKAB2
LEPR	PRKAG1
NR1H3	RXRA
NR1H3	SREBF1
RXRA	SREBF1
INSR	IRS1
INSR	IRS2
IL6R	SOCS3
TNFRSF1A	NFKB1
TNFRSF1A	RELA
