TRPV5	RAB11A
PTH1R	GNAS
VDR	TRPV5
VDR	CALB1
VDR	SLC8A2
VDR	SLC8A1
VDR	SLC8A3
BDKRB2	GNAQ
RAB11A	TRPV5
KL	TRPV5
KL	ATP1B4
KL	ATP1A1
KL	ATP1A2
KL	ATP1A3
KL	ATP1A4
KL	ATP1B1
KL	ATP1B2
KL	ATP1B3
KL	FXYD2
PRKCA	TRPV5
PRKCB	TRPV5
PRKCG	TRPV5
GNAQ	PLCB1
GNAQ	PLCB2
GNAQ	PLCB3
GNAQ	PLCB4
KLK1	BDKRB2
KLK2	BDKRB2
ESR1	TRPV5
ESR1	CALB1
ESR1	ATP2B1
ESR1	ATP2B2
ESR1	ATP2B3
ESR1	ATP2B4
ESR1	SLC8A2
ESR1	SLC8A1
ESR1	SLC8A3
PRKACA	TRPV5
PRKACB	TRPV5
PRKACG	TRPV5
GNAS	ADCY6
GNAS	ADCY9
ATP1B4	SLC8A2
ATP1B4	SLC8A1
ATP1B4	SLC8A3
ATP1A1	SLC8A2
ATP1A1	SLC8A1
ATP1A1	SLC8A3
ATP1A2	SLC8A2
ATP1A2	SLC8A1
ATP1A2	SLC8A3
ATP1A3	SLC8A2
ATP1A3	SLC8A1
ATP1A3	SLC8A3
ATP1A4	SLC8A2
ATP1A4	SLC8A1
ATP1A4	SLC8A3
ATP1B1	SLC8A2
ATP1B1	SLC8A1
ATP1B1	SLC8A3
ATP1B2	SLC8A2
ATP1B2	SLC8A1
ATP1B2	SLC8A3
ATP1B3	SLC8A2
ATP1B3	SLC8A1
ATP1B3	SLC8A3
FXYD2	SLC8A2
FXYD2	SLC8A1
FXYD2	SLC8A3
PTH	PTH1R
