AVP	AVPR2
AVPR2	GNAS
GNAS	ADCY3
GNAS	ADCY6
GNAS	ADCY9
PRKACA	ARHGDIA
PRKACA	ARHGDIB
PRKACA	ARHGDIG
PRKACA	CREB3
PRKACA	CREB1
PRKACA	CREB3L4
PRKACA	CREB3L2
PRKACA	CREB3L3
PRKACA	CREB3L1
PRKACA	CREB5
PRKACA	AQP2
PRKACB	ARHGDIA
PRKACB	ARHGDIB
PRKACB	ARHGDIG
PRKACB	CREB3
PRKACB	CREB1
PRKACB	CREB3L4
PRKACB	CREB3L2
PRKACB	CREB3L3
PRKACB	CREB3L1
PRKACB	CREB5
PRKACB	AQP2
PRKACG	ARHGDIA
PRKACG	ARHGDIB
PRKACG	ARHGDIG
PRKACG	CREB3
PRKACG	CREB1
PRKACG	CREB3L4
PRKACG	CREB3L2
PRKACG	CREB3L3
PRKACG	CREB3L1
PRKACG	CREB5
PRKACG	AQP2
CREB3	AQP2
CREB1	AQP2
CREB3L4	AQP2
CREB3L2	AQP2
CREB3L3	AQP2
CREB3L1	AQP2
CREB5	AQP2
VAMP2	STX4
