DRD1	GNAS
SLC6A3	STX1A
CALML6	CAMK4
CALML6	CAMK2A
CALML6	CAMK2B
CALML6	CAMK2D
CALML6	CAMK2G
CALML6	PPP3CA
CALML6	PPP3CB
CALML6	PPP3CC
CALML6	PPP3R1
CALML6	PPP3R2
CALML5	CAMK4
CALML5	CAMK2A
CALML5	CAMK2B
CALML5	CAMK2D
CALML5	CAMK2G
CALML5	PPP3CA
CALML5	PPP3CB
CALML5	PPP3CC
CALML5	PPP3R1
CALML5	PPP3R2
CALM1	CAMK4
CALM1	CAMK2A
CALM1	CAMK2B
CALM1	CAMK2D
CALM1	CAMK2G
CALM1	PPP3CA
CALM1	PPP3CB
CALM1	PPP3CC
CALM1	PPP3R1
CALM1	PPP3R2
CALM2	CAMK4
CALM2	CAMK2A
CALM2	CAMK2B
CALM2	CAMK2D
CALM2	CAMK2G
CALM2	PPP3CA
CALM2	PPP3CB
CALM2	PPP3CC
CALM2	PPP3R1
CALM2	PPP3R2
CALM3	CAMK4
CALM3	CAMK2A
CALM3	CAMK2B
CALM3	CAMK2D
CALM3	CAMK2G
CALM3	PPP3CA
CALM3	PPP3CB
CALM3	PPP3CC
CALM3	PPP3R1
CALM3	PPP3R2
CALML3	CAMK4
CALML3	CAMK2A
CALML3	CAMK2B
CALML3	CAMK2D
CALML3	CAMK2G
CALML3	PPP3CA
CALML3	PPP3CB
CALML3	PPP3CC
CALML3	PPP3R1
CALML3	PPP3R2
CALML4	CAMK4
CALML4	CAMK2A
CALML4	CAMK2B
CALML4	CAMK2D
CALML4	CAMK2G
CALML4	PPP3CA
CALML4	PPP3CB
CALML4	PPP3CC
CALML4	PPP3R1
CALML4	PPP3R2
CAMK4	CREB3
CAMK4	CREB1
CAMK4	ATF2
CAMK4	ATF6B
CAMK4	CREB3L4
CAMK4	ATF4
CAMK4	CREB3L2
CAMK4	CREB3L3
CAMK4	CREB3L1
CAMK4	CREB5
CAMK2A	SLC6A3
CAMK2A	CREB3
