RIGI	MAVS
MAVS	CHUK
MAVS	IKBKB
MAVS	IKBKG
MAVS	TRAF3
TRAF3	TBK1
TRAF3	IKBKE
TBK1	IRF3
TBK1	IRF7
IKBKE	IRF3
IKBKE	IRF7
IRF3	IFNA1
IRF3	IFNA2
IRF3	IFNA4
IRF3	IFNA5
IRF3	IFNA6
IRF3	IFNA7
IRF3	IFNA8
IRF3	IFNA10
IRF3	IFNA13
IRF3	IFNA14
IRF3	IFNA16
IRF3	IFNA17
IRF3	IFNA21
IRF3	IFNB1
IRF3	IFNG
IRF3	TNF
IRF3	CXCL10
IRF7	IFNA1
IRF7	IFNA2
IRF7	IFNA4
IRF7	IFNA5
IRF7	IFNA6
IRF7	IFNA7
IRF7	IFNA8
IRF7	IFNA10
IRF7	IFNA13
IRF7	IFNA14
IRF7	IFNA16
IRF7	IFNA17
IRF7	IFNA21
IRF7	IFNB1
IRF7	IFNG
IRF7	TNF
IRF7	CXCL10
NFKB1	NFKBIA
NFKB1	TNF
NFKB1	CXCL10
RELA	NFKBIA
RELA	TNF
RELA	CXCL10
TLR3	TICAM1
TICAM1	TRAF3
TICAM1	TRAF6
TICAM1	RIPK1
CHUK	NFKBIA
IKBKB	NFKBIA
IKBKG	NFKBIA
IFNA1	IFNAR1
IFNA1	IFNAR2
IFNA2	IFNAR1
IFNA2	IFNAR2
IFNA4	IFNAR1
IFNA4	IFNAR2
IFNA5	IFNAR1
IFNA5	IFNAR2
IFNA6	IFNAR1
IFNA6	IFNAR2
IFNA7	IFNAR1
IFNA7	IFNAR2
IFNA8	IFNAR1
IFNA8	IFNAR2
IFNA10	IFNAR1
IFNA10	IFNAR2
IFNA13	IFNAR1
IFNA13	IFNAR2
IFNA14	IFNAR1
IFNA14	IFNAR2
IFNA16	IFNAR1
IFNA16	IFNAR2
IFNA17	IFNAR1
IFNA17	IFNAR2
IFNA21	IFNAR1
IFNA21	IFNAR2
IFNB1	IFNAR1
IFNB1	IFNAR2
IFNAR1	JAK1
IFNAR1	TYK2
IFNAR2	JAK1
IFNAR2	TYK2
JAK1	STAT1
JAK1	STAT2
TYK2	STAT1
TYK2	STAT2
STAT1	IRF9
STAT2	IRF9
IRF9	OAS1
IRF9	OAS2
IRF9	OAS3
IRF9	EIF2AK1
IRF9	EIF2AK4
IRF9	EIF2AK2
IRF9	EIF2AK3
IRF9	IFIT1
IRF9	IFIT1B
IRF9	IRF7
IRF9	MX1
IRF9	MX2
IRF9	RSAD2
SOCS3	STAT1
SOCS3	STAT2
PPP2CA	STAT1
PPP2CA	STAT2
PPP2CB	STAT1
PPP2CB	STAT2
PPP2R1A	STAT1
PPP2R1A	STAT2
PPP2R1B	STAT1
PPP2R1B	STAT2
PPP2R2A	STAT1
PPP2R2A	STAT2
PPP2R2B	STAT1
PPP2R2B	STAT2
PPP2R2C	STAT1
PPP2R2C	STAT2
PPP2R2D	STAT1
PPP2R2D	STAT2
PIAS1	STAT1
PIAS1	STAT2
EIF2AK1	IFIT1
EIF2AK1	IFIT1B
EIF2AK1	EIF2S1
EIF2AK1	CHUK
EIF2AK1	IKBKB
EIF2AK1	IKBKG
EIF2AK4	IFIT1
EIF2AK4	IFIT1B
EIF2AK4	EIF2S1
EIF2AK4	CHUK
EIF2AK4	IKBKB
EIF2AK4	IKBKG
EIF2AK2	IFIT1
EIF2AK2	IFIT1B
EIF2AK2	EIF2S1
EIF2AK2	CHUK
EIF2AK2	IKBKB
EIF2AK2	IKBKG
EIF2AK3	IFIT1
EIF2AK3	IFIT1B
EIF2AK3	EIF2S1
EIF2AK3	CHUK
EIF2AK3	IKBKB
EIF2AK3	IKBKG
IFIT1	EIF3E
IFIT1B	EIF3E
EGFR	GRB2
GRB2	SOS1
GRB2	SOS2
SOS1	HRAS
SOS1	KRAS
SOS1	NRAS
SOS2	HRAS
SOS2	KRAS
SOS2	NRAS
HRAS	ARAF
HRAS	RAF1
HRAS	BRAF
KRAS	ARAF
KRAS	RAF1
KRAS	BRAF
NRAS	ARAF
NRAS	RAF1
NRAS	BRAF
ARAF	MAP2K1
ARAF	MAP2K2
RAF1	MAP2K1
RAF1	MAP2K2
BRAF	MAP2K1
BRAF	MAP2K2
AKT3	GSK3B
AKT3	BAD
AKT3	CDKN1A
AKT1	GSK3B
AKT1	BAD
AKT1	CDKN1A
AKT2	GSK3B
AKT2	BAD
AKT2	CDKN1A
GSK3B	CTNNB1
EGF	EGFR
TP53	CDKN1A
CDKN1A	CDK2
CDKN1A	CDK4
CDKN1A	CDK6
TNF	TNFRSF1A
TNFRSF1A	TRADD
TRADD	TRAF2
TRADD	FADD
TRAF2	CHUK
TRAF2	IKBKB
TRAF2	IKBKG
PSME3	RXRA
PSME3	NR1H3
RXRA	CCND1
RXRA	CDK4
RXRA	MYC
NR1H3	CCND1
NR1H3	CDK4
NR1H3	MYC
PPARA	CCND1
PPARA	CDK4
PPARA	MYC
MAP2K1	MAPK1
MAP2K1	MAPK3
MAP2K2	MAPK1
MAP2K2	MAPK3
YWHAQ	ARAF
YWHAQ	RAF1
YWHAQ	BRAF
YWHAB	ARAF
YWHAB	RAF1
YWHAB	BRAF
YWHAE	ARAF
YWHAE	RAF1
YWHAE	BRAF
YWHAG	ARAF
YWHAG	RAF1
YWHAG	BRAF
YWHAH	ARAF
YWHAH	RAF1
YWHAH	BRAF
YWHAZ	ARAF
YWHAZ	RAF1
YWHAZ	BRAF
CDK2	RB1
CDK4	RB1
CDK6	RB1
RB1	E2F1
RB1	E2F2
RB1	E2F3
FASLG	FAS
FAS	FADD
FADD	CASP8
CASP8	BID
CASP8	CASP3
BID	BAX
BID	BAK1
BAX	CYCS
CYCS	CASP9
CASP9	CASP3
BAK1	CYCS
APAF1	CASP9
CFLAR	CASP8
